value,type,created_at,touched_at,status,expires_at,expired_at,tags,sources
bfa9bb5b7c8e34a4f2f59b8cae7b8231,MD5,2024-04-25T03:56:24.830Z,2024-04-25T05:40:16.506Z,Active,2024-10-23T00:00:00Z,,,Mandiant Threat Intelligence Indicators
d96db87f231020f0719e8dce4617321e,MD5,2024-04-25T03:56:24.805Z,2024-04-25T05:40:16.460Z,Active,2024-10-23T00:00:00Z,,,Mandiant Threat Intelligence Indicators
e24dde23f42d4b3383f23436327d6932,MD5,2024-04-25T03:56:24.790Z,2024-04-25T05:40:16.433Z,Active,2024-10-23T00:00:00Z,,,Mandiant Threat Intelligence Indicators
8e473c708e87d85fc803330c8df10340,MD5,2024-04-25T03:56:24.769Z,2024-04-25T05:40:16.395Z,Active,2024-10-23T00:00:00Z,,,Mandiant Threat Intelligence Indicators
95e6546f70ab704f54fffbd39c447bea,MD5,2024-04-25T03:56:24.765Z,2024-04-25T05:40:16.388Z,Active,2024-10-23T00:00:00Z,,,Mandiant Threat Intelligence Indicators
a5a2782536a930c6b57ce97ad453befa,MD5,2024-04-25T03:56:24.740Z,2024-04-25T05:40:16.351Z,Active,2024-10-23T00:00:00Z,,,Mandiant Threat Intelligence Indicators
307ebbb48e3336e35ca3489efadaf45e,MD5,2024-04-25T03:56:24.424Z,2024-04-25T05:40:16.247Z,Active,2024-10-23T00:00:00Z,,,Mandiant Threat Intelligence Indicators
398a0600d4c81fc704a6fd7a6ff04a78,MD5,2024-04-25T03:56:24.401Z,2024-04-25T05:40:16.239Z,Active,2024-10-23T00:00:00Z,,,Mandiant Threat Intelligence Indicators
3b80efc65253fd0b837e1ce83905fcf1,MD5,2024-04-25T03:56:24.390Z,2024-04-25T05:40:16.231Z,Active,2024-10-23T00:00:00Z,,,Mandiant Threat Intelligence Indicators
226306ca9aea56099e355aa6533d81d5,MD5,2024-04-25T03:56:24.375Z,2024-04-25T05:40:25.037Z,Active,2024-10-23T00:00:00Z,,,Mandiant Threat Intelligence Indicators
3b9571a1ba695840e4f11ad7421f9d9b,MD5,2024-04-25T03:56:24.315Z,2024-04-25T05:40:16.224Z,Active,2024-10-23T00:00:00Z,,,Mandiant Threat Intelligence Indicators
2b785ec6d823a9453ead2573282963ca,MD5,2024-04-25T03:56:24.241Z,2024-04-25T05:40:16.184Z,Active,2024-10-23T00:00:00Z,,,Mandiant Threat Intelligence Indicators
